inuria;;;;Unrecht ;Gewalttat;Beleidigung;Beleidigung
patria;;;;Heimat;;;
Victoria;;;;Sieg;;;
deus;;;;Gott;Gottheit;;
barbarus;;;;Ausländer;Barbar;;
nuntius;;;;Bote;Nachricht;;
arma;arma;;;Waffen ;Gerät;;
periculum;;;;Gefahr;;;
consul;consulem;;;Konsul;;;
lictor ;lictorem;;;Liktor;;;
dubitare;dubito;;;zöern;;;
nunitare ;nuntio;;;melden;;;
pugnare;pugno;;;kämpfen;;;
debere;debeo;;;müssen;sollen;schulden;
dolere;doleo;;;schmerzen ;bedauren;Schmerz empfinden;
gaudere;gaudeo;;;sich über etwas freuen;;;
licet;;;;es ist erlaubt;es ist möglich;;
respondere;respondeo;;;antworten;entsprechen;;
colere;colo;;;bewirtschaften;pflegen;verehren;
consistere;consisteo;;;haltmachen;sich aufstellen;;
defendere;defendo;;;verteidigen;abwehren;schützen;
vivere;vivo;;;leben;;;
palam;;;;bekannt;in der öffentlichkeit;;
repente;;;;plötzlich;;;
undique;;;;von allen Seiten;;;
quod;;;;dass ;weil;;
circum;;;;um… herum;rings um;;
e;ex;;;aus;von…her;;
sine ;;;;ohne;;;
cena;;;;Essen;Mahlzeit;;
domina;;;;Herrin;;;
mensa;;;;Tisch;;;
puella;;;;Mädchen;;;
serva;;;;Sklavin;;;
liberi;liberos;;;Kinder;;;
puer;puerum;;;Junge;Bub;;
aedes;aedes;;;Haus;Gebaude;;
mater;matrem;;;Mutter;;;
tu;;;;du;;;
laborare;laboro;;;arbeiten;;;
ornare;orno;;;schmücken;;;
parare;paro;;;bereiten;vorbereiten;;
parare;paro;;;vorhaben;erwerben;;
portare;porto;;;tragen;bringen;;
iubere;iubeo;;;anorden;befehlen;;
placere;placeo;;;gefallen;;;
ermere;emo;;;kaufen;;;
mittere;mitto;;;(los)lassen;schicken;werfen;
ostendere;ostendo;;;zeigen;darlegen;;
adesse;adsum;;;da sein;helfen;;
bene;;;;gut;;;
iluc;;;;dahin;dorthin;;
paulo;;;;(um) ein wenig;;;
post;;;;dann;später;;
post m.Akk;;;;hinter;nach ;;
paulo post;;;;kurz darauf;;;
